TranscriptId	GeneSym
gene-LOC119727886	LOC119727886
rna-XM_038198632.1	LOC119726782
rna-XM_038194094.1	LOC119723439
rna-XM_038208818.1	LOC119735125
rna-XM_038191308.1	LOC119721299
rna-XM_038210909.1	LOC119736891
rna-XM_038190913.1	LOC119721041
rna-XM_038215529.1	LOC119740268
rna-XM_038217097.1	LOC119741347
rna-XR_005272686.1	LOC119740478
rna-XM_038223264.1	LOC119746365
rna-XM_038195331.1	LOC119724332
rna-XM_038195182.1	LOC119724227
rna-XM_038194123.1	LOC119723458
rna-XM_038216887.1	LOC119741179
rna-XM_038201875.1	LOC119729271
rna-XM_038206038.1	LOC119732505
rna-XM_038211395.1	LOC119737211
rna-XM_038210371.1	LOC119736361
rna-Trnar-acg-12	Trnar-acg
rna-XM_038201768.1	LOC119729202
rna-XM_038209019.1	LOC119735320
rna-XM_038213162.1	LOC119738316
rna-XM_038189468.1	LOC119719980
rna-XR_005271887.1	LOC119733521
rna-XM_038221996.1	LOC119745555
rna-XM_038195323.1	LOC119724328
rna-XR_005272751.1	LOC119741581
rna-XM_038217818.1	LOC119741885
rna-XM_038208858.1	LOC119735155
rna-XM_038195106.1	LOC119724170
rna-XM_038216844.1	LOC119741146
rna-XM_038207129.1	LOC119733762
rna-XR_005272327.1	LOC119736964
rna-XM_038216227.1	LOC119740800
rna-XM_038207738.1	LOC119734307
gene-LOC119742384	LOC119742384
rna-XM_038208997.1	LOC119735298
rna-XM_038199067.1	LOC119727205
rna-Trnad-guc-46	Trnad-guc
rna-XM_038208052.1	LOC119734520
rna-XM_038197772.1	LOC119726160
rna-XM_038200520.1	LOC119728323
rna-XM_038190588.1	LOC119720757
rna-XM_038210970.1	LOC119736929
rna-XM_038192120.1	LOC119722098
rna-XM_038215498.1	LOC119740249
rna-XM_038222647.1	LOC119745939
rna-XR_005269933.1	LOC119719437
gene-LOC119746259	LOC119746259
rna-XM_038208998.1	LOC119735300
rna-XM_038188515.1	LOC119719169
rna-XM_038214170.1	LOC119739292
rna-XM_038197758.1	LOC119726142
rna-XM_038190326.1	LOC119720592
rna-XM_038200091.1	LOC119728000
rna-XM_038213414.1	LOC119738513
rna-XM_038203195.1	LOC119730346
rna-XM_038222311.1	LOC119745744
rna-XM_038199914.1	LOC119727841
rna-XM_038207160.1	LOC119733794
rna-XM_038196947.1	LOC119725524
rna-XM_038216163.1	LOC119740756
rna-XM_038217600.1	LOC119741728
